ko_id,initial_num_seqs,num_groups,num_ungrouped,final_num_seqs,description,ec_numbers
K20860,65,4.0,0.0,4,Uncharacterized protein LOC107761659,[]
K15408,478,26.0,11.0,36,Cytochrome ubiquinol oxidase subunit I,[]
K01821,2424,201.0,360.0,560,Tautomerase [EC:5.3.2.-],['5.3.2.-']
K13679,98,11.0,1.0,11,"Starch synthase, chloroplastic/amyloplastic [EC:2.4.1.-]",['2.4.1.-']
K00248,1113,100.0,89.0,188,"Acyl-CoA dehydrogenase, short-chain specific",[]
K05375,1242,111.0,161.0,271,MbtH domain protein,[]
K02231,2351,201.0,378.0,578,Adenosylcobinamide kinase [EC:2.7.1.156],['2.7.1.156']
K05351,363,36.0,37.0,72,L-arabinitol 4-dehydrogenase [EC:1.1.1.12],['1.1.1.12']
K21063,19,3.0,2.0,4,Haloacid dehalogenase-like hydrolase,[]
K00338,3016,223.0,363.0,585,NADH-quinone oxidoreductase subunit I [EC:7.1.1.-],['7.1.1.-']
K00337,3371,275.0,426.0,700,NADH-quinone oxidoreductase subunit H [EC:7.1.1.-],['7.1.1.-']
K02492,3602,277.0,538.0,814,Glutamyl-tRNA reductase [EC:1.2.1.70],['1.2.1.70']
K15862,345,34.0,20.0,53,"Cytochrome c oxidase, cbb3-type, subunit I [EC:1.9.3.1]",['1.9.3.1']
K01689,5963,436.0,889.0,1324,phosphopyruvate hydratase [EC:4.2.1.11],['4.2.1.11']
K00768,2426,187.0,332.0,518,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],['2.4.2.21']
K20861,153,15.0,12.0,26,Hydrolase [EC:3.1.3.-],['3.1.3.-']
K00343,3373,268.0,487.0,754,NADH-quinone oxidoreductase subunit N [EC:7.1.1.-],['7.1.1.-']
K00700,3688,270.0,424.0,693,"1,4-alpha-glucan branching enzyme GlgB [EC:2.4.1.18]",['2.4.1.18']
K12977,46,5.0,2.0,6,Lipid A 1-phosphatase,[]
K00750,400,38.0,52.0,89,Glycogenin glucosyltransferase,[]
K02132,427,38.0,32.0,69,"ATP synthase subunit alpha, mitochondrial",[]
K22451,211,22.0,21.0,42,Alpha-amylase/alpha-mannosidase,[]
K02277,916,82.0,147.0,228,"Caa(3)-type oxidase, subunit IV",[]
K22227,591,43.0,58.0,100,Heme b synthase,[]
K23082,45,2.0,0.0,2,Membrane protein,[]
K13038,4242,321.0,575.0,895,Coenzyme A biosynthesis bifunctional protein CoaBC [EC:4.1.1.36],['4.1.1.36']
K06981,432,36.0,51.0,86,Isopentenyl phosphate kinase [EC:2.7.4.26],['2.7.4.26']
K00798,3081,229.0,453.0,681,Corrinoid adenosyltransferase [EC:2.5.1.17],['2.5.1.17']
K00693,471,38.0,35.0,72,Glycosyltransferase,[]
K23083,46,3.0,0.0,3,Sialidase domain-containing protein,[]
K23159,43,4.0,0.0,4,Phosphatidic acid phosphatase type 2/haloperoxidase domain-containing protein,[]
K00134,6936,522.0,942.0,1463,Glyceraldehyde-3-phosphate dehydrogenase [EC:1.2.1.-],['1.2.1.-']
K14266,1084,83.0,123.0,205,Tryptophan halogenase,[]
K02227,2781,217.0,430.0,646,Cobalamin biosynthesis protein CobD,[]
K22949,60,5.0,9.0,13,FAD synthase [EC:2.7.7.2],['2.7.7.2']
K20884,112,9.0,0.0,9,Bifunctional riboflavin kinase/FMN phosphatase-like,[]
K01783,5203,380.0,886.0,1265,Ribulose-phosphate 3-epimerase [EC:5.1.3.1],['5.1.3.1']
K01196,298,26.0,34.0,59,Six-hairpin glycosidase,[]
K09654,108,7.0,2.0,8,Hexosyltransferase [EC:2.4.1.-],['2.4.1.-']
K01719,4009,309.0,583.0,891,Uroporphyrinogen-III synthase [EC:4.2.1.75],['4.2.1.75']
K22391,252,23.0,18.0,40,"Nif3-like dinuclear metal center protein, putative GTP cyclohydrolase",[]
K00054,722,64.0,61.0,124,3-hydroxy-3-methylglutaryl coenzyme A reductase [EC:1.1.1.88],['1.1.1.88']
K21031,114,10.0,2.0,11,D-ribitol-5-phosphate cytidylyltransferase [EC:2.7.7.40],['2.7.7.40']
K18207,151,13.0,6.0,18,"Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2-like",[]
K00341,3451,250.0,463.0,712,NADH-quinone oxidoreductase subunit L,[]
K02136,447,38.0,40.0,77,"ATP synthase subunit gamma, mitochondrial-like isoform X1",[]
K00954,4120,325.0,616.0,940,Phosphopantetheine adenylyltransferase [EC:2.7.7.3],['2.7.7.3']
K02496,884,80.0,73.0,152,Putative enzyme of heme biosynthesis [EC:2.1.1.107],['2.1.1.107']
K01676,2074,168.0,194.0,361,Fumarate hydratase class I [EC:4.2.1.2],['4.2.1.2']
K17547,168,15.0,7.0,21,Protein O-mannose kinase [EC:2.7.1.183],['2.7.1.183']
K02133,514,41.0,54.0,94,ATP synthase subunit beta [EC:7.1.2.2],['7.1.2.2']
K19872,153,10.0,4.0,13,Ribitol-5-phosphate transferase,[]
K12526,98,9.0,3.0,11,aspartate kinase [EC:2.7.2.4],['2.7.2.4']
K23371,29,3.0,6.0,8,Siderphore biosynthesis protein SbnI,[]
K21721,43,3.0,0.0,3,Ornithine cyclodeaminase [EC:4.3.1.12],['4.3.1.12']
K21052,136,13.0,20.0,32,,[]
K23372,38,2.0,0.0,2,"L-2,3-diaminopropanoate--citrate ligase SbnE",[]
K22225,968,76.0,103.0,178,siroheme decarboxylase [EC:4.1.1.111],['4.1.1.111']
K00859,4583,351.0,693.0,1043,Dephospho-CoA kinase [EC:2.7.1.24],['2.7.1.24']
K02438,459,43.0,43.0,85,Glycogen debranching enzyme [EC:3.2.1.196],['3.2.1.196']
K19873,162,16.0,19.0,34,Fukutin-related protein,[]
K23446,54,8.0,0.0,8,RhbF-like rhizobactin siderophore biosynthesis protein,[]
K23447,55,2.0,0.0,2,Aerobactin synthase IucA [EC:6.3.2.-],['6.3.2.-']
K23373,95,3.0,0.0,3,Pyridoxal-dependent decarboxylase [EC:4.1.1.20],['4.1.1.20']
K23374,81,7.0,1.0,7,Siderophore biosynthesis protein,[]
K23375,77,2.0,0.0,2,AcsA protein,[]
K18652,30,2.0,0.0,2,Oxidoreductase,[]
K18653,30,2.0,0.0,2,UDP-4-amino-4-deoxy-L-arabinose-oxoglutarateaminotransferase [EC:2.6.1.-],['2.6.1.-']
K02233,2621,209.0,399.0,607,,[]
K19965,26,3.0,0.0,3,NUDIX domain-containing protein,[]
K21032,199,16.0,11.0,26,"Beta-1,4-glucuronyltransferase 1",[]
K18654,42,6.0,3.0,8,HAD family hydrolase,[]
K21064,720,64.0,64.0,127,HAD family hydrolase,[]
K13939,55,8.0,1.0,8,Folic acid synthesis protein fol1,[]
K09668,235,19.0,17.0,35,LARGE xylosyl- and glucuronyltransferase 1,[]
K20862,852,71.0,76.0,146,"HAD-superfamily hydrolase, subfamily IA, variant 1",[]
K16150,746,66.0,78.0,143,Glycosyl transferase [EC:2.4.1.-],['2.4.1.-']
K09953,466,41.0,48.0,88,Lipid A deacylase LpxR family protein,[]
K02615,57,2.0,0.0,2,3-oxoadipyl-CoA thiolase [EC:2.3.1.174],['2.3.1.174']
K00342,3560,283.0,483.0,765,NADH-quinone oxidoreductase subunit M [EC:1.6.5.11],['1.6.5.11']
K02134,434,37.0,39.0,75,ATP synthase F1 complex delta/epsilon subunit N-terminal domain-containing protein,[]
K24866,1237,104.0,162.0,265,precorrin-2 dehydrogenase [EC:1.3.1.76],['1.3.1.76']
K02127,333,36.0,40.0,75,ATP synthase subunit b,[]
K02135,351,34.0,27.0,60,ATP synthase F1 subunit epsilon,[]
K21949,362,32.0,31.0,62,"Pyridoxal-5'-phosphate-dependent enzyme, beta subunit:Ornithine cyclodeaminase/mu-crystallin",[]
K21898,312,30.0,30.0,59,Alanine racemase,[]
K02258,1530,126.0,191.0,316,Cytochrome c oxidase assembly protein CtaG,[]
K02126,368,34.0,51.0,84,ATP synthase subunit a,[]
K01698,4446,308.0,564.0,871,Delta-aminolevulinic acid dehydratase [EC:4.2.1.24],['4.2.1.24']
K02137,444,42.0,45.0,86,"ATP synthase subunit 5, mitochondrial",[]
K01549,102,8.0,5.0,12,"ATP synthase subunit e, mitochondrial",[]
K02139,100,11.0,13.0,23,"ATP synthase subunit f, mitochondrial",[]
K02129,135,11.0,7.0,17,"ATP synthase subunit e, mitochondrial",[]
K02141,103,2.0,0.0,2,"ATP synthase H chain, mitochondrial",[]
K00407,1288,104.0,157.0,260,Cytochrome-c oxidase,[]
K02142,77,2.0,0.0,2,"ATP synthase J chain, mitochondrial, putative [EC:3.6.3.14]",['3.6.3.14']
K02138,449,42.0,58.0,99,"ATP synthase subunit d, mitochondrial",[]
K02130,219,18.0,24.0,41,"ATP synthase subunit f, mitochondrial",[]
K02143,114,13.0,13.0,25,"ATP synthase subunit K, mitochondrial",[]
K01200,853,65.0,83.0,147,Type I pullulanase [EC:3.2.1.41],['3.2.1.41']
K01749,4505,330.0,676.0,1005,Porphobilinogen deaminase [EC:2.5.1.61],['2.5.1.61']
K00404,1570,112.0,163.0,274,cytochrome-c oxidase [EC:7.1.1.9],['7.1.1.9']
K00405,1442,111.0,132.0,242,"Cytochrome-c oxidase, cbb3-type subunit II",[]
K02131,236,14.0,17.0,30,"ATP synthase-coupling factor 6, mitochondrial",[]
K02128,582,54.0,54.0,107,"ATP synthase subunit C, putative",[]
K02125,280,25.0,13.0,37,ATP synthase protein 8,[]
K00261,2087,154.0,276.0,429,Glutamate dehydrogenase,[]
K00873,6743,510.0,932.0,1441,Pyruvate kinase [EC:2.7.1.40],['2.7.1.40']
K12657,340,35.0,32.0,66,Delta-1-pyrroline-5-carboxylate synthase [EC:2.7.2.11],['2.7.2.11']
K01599,4421,323.0,525.0,847,Uroporphyrinogen decarboxylase [EC:4.1.1.37],['4.1.1.37']
K13940,245,20.0,14.0,33,Bifunctional folate synthesis protein [EC:4.1.2.25],['4.1.2.25']
K00241,3699,293.0,542.0,834,Heterodisulfide reductase subunit B,[]
K03760,901,79.0,93.0,171,Phosphoethanolamine transferase,[]
K02140,500,42.0,58.0,99,Uncharacterized protein,[]
K13941,205,19.0,13.0,31,Dihydropteroate synthase,[]
K20457,171,16.0,7.0,22,Dihydrofolate synthetase [EC:6.3.2.12],['6.3.2.12']
K02618,570,48.0,32.0,79,Phenylacetic acid degradation bifunctional protein PaaZ,[]
K00840,403,39.0,18.0,56,Acetylornithine aminotransferase [EC:2.6.1.11],['2.6.1.11']
K00406,1751,143.0,224.0,366,Cbb3-type cytochrome c oxidase subunit,[]
K00116,1642,132.0,186.0,317,Probable malate:quinone oxidoreductase [EC:1.1.5.4],['1.1.5.4']
K02119,629,55.0,85.0,139,Archaeal/vacuolar-type H+-ATPase subunit C [EC:3.6.3.14],['3.6.3.14']
K02107,520,45.0,73.0,117,A-type ATP synthase subunit H,[]
K02122,567,54.0,59.0,112,,[]
K12525,297,22.0,21.0,42,Bifunctional aspartokinase/homoserine dehydrogenase [EC:2.7.2.4],['2.7.2.4']
K00643,1174,96.0,115.0,210,5-aminolevulinate synthase [EC:2.3.1.37],['2.3.1.37']
K20967,134,15.0,6.0,20,Molybdenum cofactor biosynthesis protein 1 isoform X1,[]
K01772,4177,340.0,627.0,966,Ferrochelatase [EC:4.98.1.1],['4.98.1.1']
K02858,1066,89.0,110.0,198,"3,4-dihydroxy-2-butanone 4-phosphate synthase [EC:4.1.99.12]",['4.1.99.12']
K00240,4047,318.0,643.0,960,Fumarate reductase iron-sulfur subunit [EC:1.3.5.1],['1.3.5.1']
K02302,1813,148.0,205.0,352,uroporphyrinogen-III C-methyltransferase [EC:2.1.1.107],['2.1.1.107']
K01484,705,62.0,43.0,104,N-succinylarginine dihydrolase [EC:3.5.3.23],['3.5.3.23']
K21142,184,21.0,22.0,42,Molybdopterin synthase subunit MoaD / molybdopterin synthase subunit MoaE,[]
K02612,1014,79.0,140.0,218,"1,2-phenylacetyl-CoA epoxidase subunit D",[]
K05526,575,48.0,37.0,84,Succinylglutamate desuccinylase [EC:3.5.1.96],['3.5.1.96']
K02611,1067,86.0,132.0,217,Phenylacetate-CoA oxygenase subunit PaaC,[]
K02610,957,78.0,93.0,170,"1,2-phenylacetyl-CoA epoxidase subunit B",[]
K06447,767,58.0,61.0,118,N-succinylglutamate 5-semialdehyde dehydrogenase [EC:1.2.1.71],['1.2.1.71']
K01845,4991,380.0,822.0,1201,"Glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",['5.4.3.8']
K02609,1143,90.0,84.0,173,"1,2-phenylacetyl-CoA epoxidase, subunit A [EC:1.14.13.149]",['1.14.13.149']
K09007,990,77.0,90.0,166,GTP cyclohydrolase FolE2 [EC:3.5.4.16],['3.5.4.16']
K13998,143,14.0,8.0,21,Bifunctional dihydrofolate reductase-thymidylate synthase,[]
K02613,1197,104.0,148.0,251,Ferredoxin--NADP reductase,[]
K00833,2652,198.0,285.0,482,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62],['2.6.1.62']
K00239,4238,315.0,473.0,787,Fumarate reductase/succinate dehydrogenase flavoprotein subunit,[]
K00728,1634,116.0,171.0,286,Dolichyl-phosphate-mannose--protein mannosyltransferase [EC:2.4.1.109],['2.4.1.109']
K10105,194,19.0,28.0,46,Lipoyltransferase 1,[]
K12628,1,,,1,Oxido-reductase,[]
K02121,777,69.0,98.0,166,ATPase V,[]
K12629,1,,,1,NTP pyrophosphohydrolase,[]
K12630,1,,,1,Amino-transferase,[]
K12631,1,,,1,Synthetase,[]
K12632,1,,,1,Puromycin N-acetyltransferase [EC:2.3.-.-],['2.3.-.-']
K15376,315,24.0,23.0,46,Gephyrin,[]
K12633,1,,,1,N-methyl-transferase,[]
K12634,1,,,1,histidinol-phosphatase [EC:3.1.3.15],['3.1.3.15']
K02145,518,46.0,45.0,90,H(+)-transporting two-sector ATPase [EC:7.1.2.2],['7.1.2.2']
K12636,1,,,1,N-acetylpuromycin N-acetylhydrolase,[]
K12635,1,,,1,O-demethylpuromycin-O-methyltransferase [EC:2.1.1.38],['2.1.1.38']
K02149,471,44.0,43.0,86,Predicted protein,[]
K00673,1078,91.0,118.0,208,Arginine N-succinyltransferase,[]
K22269,1,,,1,"8-amino-8-demethylriboflavin N,N-dimethyltransferase [EC:2.1.1.343]",['2.1.1.343']
K22598,1,,,1,8-demethyl-8-aminoriboflavin-5'-phosphate synthase [EC:2.6.1.114],['2.6.1.114']
K23750,31,4.0,9.0,12,Putative lipoate-protein ligase A,[]
K23735,328,26.0,43.0,68,lipoyl(octanoyl) transferase [EC:2.3.1.181],['2.3.1.181']
K20981,1,,,1,"Lovastatin nonaketide synthase, polyketide synthase component [EC:2.3.1.161]",['2.3.1.161']
K20982,1,,,1,"Lovastatin nonaketide synthase, enoyl reductase component lovC [EC:2.3.1.161]",['2.3.1.161']
K20985,1,,,1,Dihydromonacolin L-[lovastatin nonaketide synthase] thioesterase [EC:3.1.2.31],['3.1.2.31']
K20980,1,,,1,Dihydromonacolin L monooxygenase LovA [EC:1.14.14.124],['1.14.14.124']
K20984,1,,,1,Lovastatin diketide synthase lovF [EC:2.3.1.244],['2.3.1.244']
K20983,1,,,1,Monacolin J acid methylbutanoyltransferase [EC:2.3.1.238],['2.3.1.238']
K20503,1,,,1,"3,5,7-trioxododecanoyl-CoA synthase [EC:2.3.1.206]",['2.3.1.206']
K20508,1,,,1,Olivetolic acid cyclase [EC:4.4.1.26],['4.4.1.26']
K20502,1,,,1,Cannabidiolic acid synthase [EC:1.21.3.8],['1.21.3.8']
K01681,4727,345.0,527.0,871,Aconitate hydratase A [EC:4.2.1.3],['4.2.1.3']
K20501,1,,,1,Tetrahydrocannabinolic acid synthase [EC:1.21.3.7],['1.21.3.7']
K23734,357,31.0,42.0,72,Octanoyltransferase,[]
K02117,897,78.0,90.0,167,V-type ATP synthase alpha chain [EC:7.1.2.2],['7.1.2.2']
K00002,1116,91.0,161.0,251,Aldehyde reductase,[]
K02147,543,49.0,48.0,96,Vacuolar proton pump subunit B,[]
K02303,2714,220.0,354.0,573,uroporphyrinogen-III C-methyltransferase [EC:2.1.1.107],['2.1.1.107']
K10810,200,19.0,17.0,35,,[]
K16869,483,44.0,61.0,104,Lipoate--protein ligase,[]
K02118,885,70.0,87.0,156,V-type ATP synthase beta chain,[]
K01836,402,41.0,69.0,109,Phosphoacetylglucosamine mutase [EC:5.4.2.3],['5.4.2.3']
K21220,71,11.0,6.0,16,Phosphomethylpyrimidine kinase,[]
K00621,427,32.0,32.0,63,Glucosamine 6-phosphate N-acetyltransferase [EC:2.3.1.4],['2.3.1.4']
K02148,521,38.0,42.0,79,V-type proton ATPase subunit C,[]
K22911,120,12.0,15.0,26,Putative upf0655 protein ycr015c protein,[]
K18278,82,9.0,4.0,12,4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase,[]
K02120,867,75.0,96.0,170,V-type ATP synthase subunit D,[]
K00232,1671,127.0,172.0,298,"Acyl-coenzyme A oxidase 1, peroxisomal",[]
K02123,913,84.0,116.0,199,V-type ATP synthase subunit I,[]
K02124,823,69.0,85.0,153,V-ATPase proteolipid subunit C-like domain-containing protein,[]
K03662,213,24.0,14.0,37,CRE-VHA-19 protein,[]
K02151,396,35.0,29.0,63,V-type proton ATPase subunit F-like,[]
K12524,1052,81.0,95.0,175,Bifunctional aspartate kinase/homoserine dehydrogenase I [EC:1.1.1.3],['1.1.1.3']
K02144,404,35.0,42.0,76,V-type proton ATPase subunit H,[]
K02706,209,20.0,12.0,31,Photosystem II D2 protein 1 [EC:1.10.3.9],['1.10.3.9']
K00705,2531,193.0,299.0,491,4-alpha-glucanotransferase [EC:2.4.1.25],['2.4.1.25']
K03146,219,23.0,27.0,49,"Thiamine thiazole synthase 1, chloroplastic [EC:2.4.2.60]",['2.4.2.60']
K21371,2,,,2,"Crocetin glucosyltransferase, chloroplastic [EC:2.4.1.271]",['2.4.1.271']
K21354,1,,,1,"Beta-D-glucosyl crocetin beta-1,6-glucosyltransferase [EC:2.4.1.330]",['2.4.1.330']
K23665,4,,,4,"Nonribosomal peptide synthase, putative",[]
K02705,240,23.0,10.0,32,Photosystem II CP43 reaction center protein,[]
K23666,4,,,4,"FAD dependent oxidoreductase, putative",[]
K23667,4,,,4,"Nonribosomal peptide synthase, putative",[]
K23668,3,,,3,FAD-linked oxidoreductase fmqD [EC:1.-.-.-],['1.-.-.-']
K00877,107,2.0,0.0,2,DEHA2E20878p,[]
K02704,202,21.0,20.0,40,Photosystem II CP47 reaction center protein,[]
K02150,641,56.0,45.0,100,V-type proton ATPase subunit E 1,[]
K02707,138,12.0,1.0,12,Cytochrome b559 subunit alpha,[]
K01902,3642,267.0,408.0,674,Succinate--CoA ligase [ADP-forming] subunit alpha [EC:6.2.1.5],['6.2.1.5']
K03661,432,38.0,34.0,71,V-type proton ATPase 21 kDa proteolipid subunit-like,[]
K02642,49,6.0,2.0,7,Cytochrome b6-f complex subunit 6,[]
K02708,112,10.0,15.0,24,Photosystem II protein Y,[]
K00972,632,49.0,47.0,95,"Bifunctional protein UDP-N-acetylglucosamine pyrophosphorylase, glucosamine-1-phosphate N-acetyltransferase",[]
K19650,2,,,2,Secoisolariciresinol dehydrogenase [EC:1.1.1.331],['1.1.1.331']
K21203,1,,,1,Pluviatolide O-methyltransferase [EC:2.1.1.323],['2.1.1.323']
K21207,2,,,2,Pluviatolide synthase [EC:1.14.19.72],['1.14.19.72']
K21205,1,,,1,Desmethylyatein synthase [EC:1.14.14.131],['1.14.14.131']
K21204,1,,,1,Desmethyl-yatein O-methyltransferase [EC:2.1.1.330],['2.1.1.330']
K21202,1,,,1,Deoxypodophyllotoxin synthase [EC:1.14.20.8],['1.14.20.8']
K02703,404,40.0,55.0,94,Photosystem II protein D1 [EC:1.10.3.9],['1.10.3.9']
K02643,88,2.0,0.0,2,Cytochrome b6-f complex subunit 7,[]
K02637,174,18.0,18.0,35,Subunit iv of cytochrome bc complex petd,[]
K14154,113,10.0,0.0,10,Thiamine phosphate synthase/TenI domain-containing protein,[]
K12901,1,,,1,FomC protein,[]
K12902,2,,,2,Cytidylyl-2-hydroxyethylphosphonate methyltransferase [EC:2.1.1.308],['2.1.1.308']
K24000,1,,,1,FomD protein,[]
K12903,1,,,1,(S)-2-hydroxypropylphosphonic acid epoxidase [EC:1.11.1.23],['1.11.1.23']
K02634,206,21.0,30.0,50,Cytochrome f,[]
K22113,8,1.0,8.0,8,CoF synthetase,[]
K01957,3,,,3,Asparagine synthetase [glutamine-hydrolyzing] 1,[]
K02153,456,41.0,53.0,93,V-type proton ATPase subunit,[]
K22114,5,,,5,Uncharacterized protein,[]
K23999,58,5.0,0.0,5,phosphoenolpyruvate mutase [EC:5.4.2.9],['5.4.2.9']
K02635,244,25.0,11.0,35,Cytochrome b6,[]
K22699,354,32.0,33.0,64,Thiamine thiazole synthase [EC:2.4.2.59],['2.4.2.59']
K20204,3,,,3,Grixazone synthase [EC:1.10.3.15],['1.10.3.15']
K03831,1133,96.0,134.0,229,Molybdenum cofactor synthesis domain protein,[]
K18287,50,4.0,0.0,4,"2-amino-4,5-dihydroxy-6-one-heptanoic acid-7-phosphate synthase",[]
K21568,143,4.0,0.0,4,NmrA-like domain-containing protein,[]
K17835,64,4.0,0.0,4,3-dehydroquinate synthase II,[]
K01637,2327,172.0,226.0,397,Isocitrate lyase [EC:4.1.3.1],['4.1.3.1']
K01912,2125,175.0,251.0,425,Phenylacetate-coenzyme A ligase [EC:6.2.1.30],['6.2.1.30']
K14655,41,3.0,3.0,5,CMP/dCMP-type deaminase domain-containing protein,[]
K13367,48,5.0,1.0,5,Amine oxidase domain-containing protein,[]
K02259,3152,238.0,445.0,682,Uncharacterized protein required for cytochrome oxidase assembly [EC:1.3.-.-],['1.3.-.-']
K11006,5,,,5,rRNA N-glycosylase [EC:3.2.2.22],['3.2.2.22']
K11007,6,1.0,6.0,6,Shiga toxin 2e B-subunit,[]
K09459,223,23.0,14.0,36,Putative phosphoenolpyruvate decarboxylase,[]
K00953,342,31.0,23.0,53,FAD synthase,[]
K02146,485,42.0,27.0,68,V-type proton ATPase subunit,[]
K03689,88,8.0,6.0,13,"Cytochrome b6-f complex subunit 8, chloroplastic",[]
K00861,371,35.0,61.0,95,Riboflavin kinase [EC:2.7.1.26],['2.7.1.26']
K21722,3,,,3,Methylxanthine N1-demethylase NdmA [EC:1.14.13.178],['1.14.13.178']
K21723,2,,,2,Uncharacterized conserved protein,[]
K21724,3,,,3,Uncharacterized conserved protein,[]
K02152,668,62.0,75.0,136,V-type proton ATPase subunit G,[]
K02640,99,9.0,6.0,14,Cytochrome b6-f complex subunit 5,[]
K10248,62,10.0,5.0,14,Elongation of very long chain fatty acids protein 3 [EC:2.3.1.199],['2.3.1.199']
K02689,200,23.0,15.0,37,Photosystem I P700 chlorophyll a apoprotein A1 [EC:1.97.1.12],['1.97.1.12']
K10205,84,5.0,0.0,5,Elongation of very long chain fatty acids protein 2 [EC:2.3.1.199],['2.3.1.199']
K02690,212,16.0,9.0,24,Photosystem I P700 chlorophyll a apoprotein A2 [EC:1.97.1.12],['1.97.1.12']
K01790,3866,316.0,545.0,860,"dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]",['5.1.3.13']
K10245,40,3.0,0.0,3,Elongation of fatty acids protein [EC:2.3.1.199],['2.3.1.199']
K02691,87,10.0,2.0,11,Photosystem I iron-sulfur center [EC:1.97.1.12],['1.97.1.12']
K06982,331,30.0,48.0,77,Pantoate kinase [EC:2.7.1.169],['2.7.1.169']
K00699,1959,158.0,260.0,417,UDP-glucuronosyltransferase [EC:2.4.1.17],['2.4.1.17']
K09722,320,25.0,41.0,65,4-phosphopantoate--beta-alanine ligase [EC:6.3.2.36],['6.3.2.36']
K15866,2600,205.0,375.0,579,,[]
K14654,512,43.0,51.0,93,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase [EC:1.1.1.302]",['1.1.1.302']
K02257,3851,279.0,536.0,814,Protoheme IX farnesyltransferase [EC:2.5.1.141],['2.5.1.141']
K02692,211,23.0,21.0,43,"Photosystem I reaction center subunit II, chloroplastic",[]
K10247,178,20.0,13.0,32,Elongation of very long chain fatty acids protein 1 [EC:2.3.1.199],['2.3.1.199']
K10244,141,11.0,5.0,15,Elongation of very long chain fatty acids protein 5 [EC:2.3.1.199],['2.3.1.199']
K01897,13091,897.0,1818.0,2714,AMP-binding protein,[]
K02694,211,22.0,7.0,28,Photosystem I reaction center subunit III,[]
K10246,107,10.0,9.0,18,Elongation of fatty acids protein [EC:2.3.1.199],['2.3.1.199']
K01903,3654,279.0,510.0,788,Succinyl-CoA synthetase (ADP-forming) beta subunit [EC:6.2.1.5],['6.2.1.5']
K02693,233,23.0,32.0,54,Photosystem I reaction center subunit IV,[]
K08310,674,59.0,76.0,134,Nudix hydrolase domain-containing protein,[]
K02155,722,60.0,77.0,136,V-type proton ATPase subunit c,[]
K02636,581,51.0,39.0,89,Plastoquinol--plastocyanin reductase [EC:1.10.9.1],['1.10.9.1']
K00067,4020,315.0,579.0,893,dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133],['1.1.1.133']
K01853,120,11.0,1.0,11,Terpene cyclase/mutase family member [EC:5.4.99.-],['5.4.99.-']
K14423,110,14.0,11.0,24,Methylsterol monooxygenase 1-1-like,[]
K00097,2149,161.0,285.0,445,4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262],['1.1.1.262']
K01737,3604,263.0,450.0,712,"6-carboxy-5,6,7,8-tetrahydropterin synthase [EC:4.-.-.-]",['4.-.-.-']
K08246,76,8.0,3.0,10,Cycloeucalenol cycloisomerase-like,[]
K01497,1807,140.0,253.0,392,GTP cyclohydrolase II domain-containing protein,[]
K23558,125,13.0,14.0,26,Reticulon-like protein,[]
K00948,6315,454.0,839.0,1292,Ribose-phosphate pyrophosphokinase [EC:2.7.6.1],['2.7.6.1']
K02154,1075,84.0,124.0,207,V-type proton ATPase subunit a,[]
K01785,4642,371.0,640.0,1010,Aldose 1-epimerase [EC:5.1.3.3],['5.1.3.3']
K08242,111,13.0,14.0,26,SAM-dependent methyltransferase Erg6/SMT-type domain-containing protein,[]
K14424,112,11.0,10.0,20,C-4 methylsterol oxidase [EC:1.14.18.9],['1.14.18.9']
K03894,82,8.0,3.0,10,N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase,[]
K09735,323,32.0,49.0,80,GTP-dependent dephospho-CoA kinase [EC:2.7.1.237],['2.7.1.237']
K18686,6,1.0,6.0,6,Terpene synthase,[]
K22997,9,1.0,9.0,9,Cytochrome P450,[]
K22998,6,1.0,6.0,6,Cytochrome P450,[]
K03895,91,10.0,1.0,10,IucC protein,[]
K03638,1784,146.0,248.0,393,Molybdenum cofactor biosynthesis protein B,[]
K24257,32,2.0,0.0,2,UDP-N-acetylglucosamine 2-epimerase domain-containing protein,[]
K00426,4226,305.0,542.0,846,Cytochrome d ubiquinol oxidase subunit 2,[]
K00983,59,2.0,0.0,2,Acylneuraminate cytidylyltransferase [EC:2.7.7.43],['2.7.7.43']
K02829,191,15.0,17.0,31,Quinol oxidase subunit 4 [EC:1.10.3.-],['1.10.3.-']
K15786,203,20.0,13.0,32,NAD-dependent succinate-semialdehyde dehydrogenase,[]
K02828,210,22.0,21.0,42,Cytochrome o ubiquinol oxidase subunit III,[]
K15784,247,26.0,19.0,44,N-alpha-acetyl diaminobutyric acid deacetylase DoeB,[]
K24259,3,,,3,Putative LPS biosynthesis protein,[]
K10250,369,31.0,33.0,63,Elongation of very long chain fatty acids protein [EC:2.3.1.199],['2.3.1.199']
K03896,310,25.0,20.0,44,Acyltransferase MbtK/IucB-like conserved domain-containing protein,[]
